timestamp,vehicle
1677409200000,788
1677412800000,840
1677416400000,820
1677420000000,984
1677423600000,1204
1677427200000,1170
1677430800000,50
1677434400000,1011
1677438000000,899
1677441600000,712
1677445200000,501
1677448800000,376
1677452400000,203
1677456000000,118
1677459600000,42
1677463200000,24
1677466800000,25
1677470400000,28
1677474000000,58
1677477600000,116
1677481200000,724
1677484800000,1389
1677488400000,1039
1677492000000,1061
1677495600000,952
1677499200000,1184
1677502800000,1291
1677506400000,1210
1677510000000,1182
1677513600000,1317
1677517200000,1456
1677520800000,1569
1677524400000,1233
1677528000000,1008
1677531600000,606
1677535200000,422
1677538800000,278
1677542400000,168
1677546000000,70
1677549600000,22
1677553200000,14
1677556800000,28
1677560400000,45
1677564000000,117
1677567600000,742
1677571200000,1391
1677574800000,1213
1677578400000,1113
1677582000000,1018
1677585600000,1218
1677589200000,1346
1677592800000,1168
1677596400000,1057
1677600000000,1285
1677603600000,1540
1677607200000,1487
1677610800000,1423
1677614400000,947
1677618000000,587
1677621600000,503
1677625200000,326
1677628800000,178
1677632400000,59
1677636000000,25
1677639600000,24
1677643200000,32
1677646800000,50
1677650400000,128
1677654000000,712
1677657600000,1349
1677661200000,1106
1677664800000,951
1677668400000,981
1677672000000,1172
1677675600000,1272
1677679200000,1205
1677682800000,1270
1677686400000,1389
1677690000000,1475
1677693600000,1543
1677697200000,1369
1677700800000,930
1677704400000,713
1677708000000,516
1677711600000,461
1677715200000,237
1677718800000,99
1677722400000,133
1677726000000,215
1677729600000,131
1677733200000,101
1677736800000,210
1677740400000,693
1677744000000,1373
1677747600000,1203
1677751200000,893
1677754800000,967
1677758400000,1097
1677762000000,1274
1677765600000,1206
1677769200000,1201
1677772800000,1337
1677776400000,1465
1677780000000,1537
1677783600000,1414
1677787200000,1042
1677790800000,598
1677794400000,567
1677798000000,334
1677801600000,195
1677805200000,73
1677808800000,37
1677812400000,22
1677816000000,25
1677819600000,63
1677823200000,126
1677826800000,713
1677830400000,1344
1677834000000,1172
1677837600000,944
1677841200000,952
1677844800000,1166
1677848400000,1302
1677852000000,1229
1677855600000,1217
1677859200000,1374
1677862800000,1470
1677866400000,1561
1677870000000,1377
1677873600000,1084
1677877200000,738
1677880800000,568
1677884400000,528
1677888000000,351
1677891600000,174
